Label	Abbreviation	FullName
3	GCC	Genu of corpus callosum
4	BCC	Body of corpus callosum
5	SCC	Splenium of corpus callosum
6	FX	Fornix
7	CST	Corticospinal tract
7	CST-R	Corticospinal tract right
8	CST-L	Corticospinal tract left
17	ALIC	Anterior limb of internal capsule
17	ALIC-R	Anterior limb of internal capsule right
18	ALIC-L	Anterior limb of internal capsule left
19	PLIC	Posterior limb of internal capsule
19	PLIC-R	Posterior limb of internal capsule right
20	PLIC-L	Posterior limb of internal capsule left
21	RLIC	Retrolenticular part of internal capsule
21	RLIC-R	Retrolenticular part of internal capsule right
22	RLIC-L	Retrolenticular part of internal capsule left
23	ACR	Anterior corona radiata
23	ACR-R	Anterior corona radiata right
24	ACR-L	Anterior corona radiata left
25	SCR	Superior corona radiata
25	SCR-R	Superior corona radiata right
26	SCR-L	Superior corona radiata left
27	PCR	Posterior corona radiata
27	PCR-R	Posterior corona radiata right
28	PCR-L	Posterior corona radiata left
29	PTR	Posterior thalamic radiation
29	PTR-R	Posterior thalamic radiation (include optic radiation) right
30	PTR-L	Posterior thalamic radiation (include optic radiation) left
31	SS	Sagittal stratum
31	SS-R	Sagittal stratum (include inferior longitidinal fasciculus and inferior fronto-occipital fasciculus) right
32	SS-L	Sagittal stratum (include inferior longitidinal fasciculus and inferior fronto-occipital fasciculus) left
33	EC	External capsule
33	EC-R	External capsule right
34	EC-L	External capsule left
35	CGC	Cingulum (cingulate gyrus)
35	CGC-R	Cingulum (cingulate gyrus) right
36	CGC-L	Cingulum (cingulate gyrus) left
37	CGH	Cingulum (hippocampus)
37	CGH-R	Cingulum (hippocampus) right
38	CGH-L	Cingulum (hippocampus) left
39	FXST	Fornix (cres) / Stria terminalis
39	FX/ST-R	Fornix (cres) / Stria terminalis (can not be resolved with current resolution) right
40	FX/ST-L	Fornix (cres) / Stria terminalis (can not be resolved with current resolution) left
41	SLF	Superior longitudinal fasciculus
41	SLF-R	Superior longitudinal fasciculus right
42	SLF-L	Superior longitudinal fasciculus left
43	SFO	Superior fronto-occipital fasciculus
43	SFO-R	Superior fronto-occipital fasciculus (could be a part of anterior internal capsule) right
44	SFO-L	Superior fronto-occipital fasciculus (could be a part of anterior internal capsule) left
45	IFO	Inferior fronto-occipital fasciculus
45	IFO-R	Inferior fronto-occipital fasciculus right
46	IFO-L	Inferior fronto-occipital fasciculus left
47	UNC	Uncinate fasciculus
47	UNC-R	Uncinate fasciculus right
48	UNC-L	Uncinate fasciculus left
50	CC	Corpus Callosoum
51	IC	Internal Capsule
51	IC-R	Internal Capsule right
52	IC-L	Internal Capsule left
53	CR	Corona Radiata
53	CR-R	Corona Radiata right
54	CR-L	Corona Radiata left
